Titulo,URL,Descripcion
Missing,/title/tt10855768/,Drama Mystery Thriller             After her mother goes missing a young woman tries to find her from home using tools available to her online
F9: The Fast Saga,/title/tt5433138/,Action Crime Thriller             Dom and the crew must take on an international terrorist who turns out to be Dom and Mias estranged brother
Transformers: Rise of the Beasts,/title/tt5090568/,Action Adventure SciFi             During the 90s a new faction of Transformers  the Maximals  join the Autobots as allies in the battle for Earth
Beau Is Afraid,/title/tt13521006/,Comedy Drama Horror             Following the sudden death of his mother a mildmannered but anxietyridden man confronts his darkest fears as he embarks on an epic Kafkaesque odyssey back home
Kandahar,/title/tt5761544/,Action Thriller             A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission
No Hard Feelings,/title/tt15671028/,Comedy             On the brink of losing her home Maddie finds an intriguing job listing helicopter parents looking for someone to bring their introverted 19yearold son out of his shell before college She has one summer to make him a man or die trying
Love Again,/title/tt10276482/,Comedy Drama Romance             A young woman tries to ease the pain of her fiancés death by sending romantic texts to his old cell phone number and forms a connection with the man the number has been reassigned to
Scream VI,/title/tt17663992/,Horror Mystery Thriller             In the next installment the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City
X,/title/tt13560574/,Horror Mystery Thriller             In 1979 a group of young filmmakers set out to make an adult film in rural Texas but when their reclusive elderly hosts catch them in the act the cast find themselves fighting for their lives
Renfield,/title/tt11358390/,Comedy Fantasy Horror             Renfield Draculas henchman and inmate at the lunatic asylum for decades longs for a life away from the Count his various demands and all of the bloodshed that comes with them
The Fast and the Furious,/title/tt0232500/,Action Crime Thriller             Los Angeles police officer Brian OConner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy
The Pope's Exorcist,/title/tt13375076/,Horror Thriller             Follow Gabriele Amorth the Vaticans leading exorcist as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret
Guardians of the Galaxy,/title/tt2015381/,Action Adventure Comedy             A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe
Ghosted,/title/tt15326988/,Action Adventure Comedy             Cole falls head over heels for enigmatic Sadie but then makes the shocking discovery that shes a secret agent Before they can decide on a second date Cole and Sadie are swept away on an international adventure to save the world
May December,/title/tt13651794/,Drama Romance             Twenty years after their notorious tabloid romance gripped the nation a married couple buckles under the pressure when an actress arrives to do research for a film about their past
About My Father,/title/tt8373206/,Comedy             When Sebastian tells his oldschool Italian immigrant father Salvo that he is going to propose to his allAmerican girlfriend Salvo insists on crashing a weekend with her tony parents
Avatar: The Way of Water,/title/tt1630029/,Action Adventure Fantasy             Jake Sully lives with his newfound family formed on the extrasolar moon Pandora Once a familiar threat returns to finish what was previously started Jake must work with Neytiri and the army of the Navi race to protect their home
Thor,/title/tt0800369/,Action Fantasy             The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard Earth where he soon becomes one of their finest defenders
Top Gun: Maverick,/title/tt1745960/,Action Drama             After thirty years Maverick is still pushing the envelope as a top naval aviator but must confront ghosts of his past when he leads TOP GUNs elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it
The Meg 2: The Trench,/title/tt9224104/,Action Adventure Horror             Plot unknown Sequel to the 2018 film The Meg
The Zone of Interest,/title/tt7160372/,Drama History War             The commandant of Auschwitz Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden next to the camp
White Men Can't Jump,/title/tt0105812/,Comedy Sport             Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament
Everything Everywhere All at Once,/title/tt6710474/,Action Adventure Comedy             A middleaged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led
Heat,/title/tt0113277/,Action Crime Drama             A group of highend professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist
The Godfather,/title/tt0068646/,Crime Drama             Don Vito Corleone head of a mafia family decides to hand over his empire to his youngest son Michael However his decision unintentionally puts the lives of his loved ones in grave danger
Robots,/title/tt12579470/,Comedy Romance SciFi             Charles is a womanizer while Elaine is a gold digger The duo learn humanity when forced to team up and pursue robot doubles of themselves
Peter Pan & Wendy,/title/tt5635026/,Action Adventure Comedy             Follow the adventures of Peter Pan a boy who does not want to grow up and how he recruits three siblings in London and together they embark on a magical adventure on the enchanted island of Neverland
Hypnotic,/title/tt8080204/,Action Mystery Thriller             A detective investigates a mystery involving his missing daughter and a secret government program
The Menu,/title/tt9764362/,Comedy Horror Thriller             A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu with some shocking surprises
What's Love Got to Do with It,/title/tt0108551/,Biography Drama Music             The story of singer Tina Turners rise to stardom and how she gained the courage to break free from her abusive husband Ike Turner
65,/title/tt12261776/,Action Adventure Drama             An astronaut crash lands on a mysterious planet only to discover hes not alone
Dune,/title/tt1160419/,Action Adventure Drama             A noble family becomes embroiled in a war for control over the galaxys most valuable asset while its heir becomes troubled by visions of a dark future
Interstellar,/title/tt0816692/,Adventure Drama SciFi             When Earth becomes uninhabitable in the future a farmer and exNASA pilot Joseph Cooper is tasked to pilot a spacecraft along with a team of researchers to find a new planet for humans
The Shawshank Redemption,/title/tt0111161/,Drama             Over the course of several years two convicts form a friendship seeking consolation and eventually redemption through basic compassion
John Wick,/title/tt2911666/,Action Crime Thriller             An exhitman comes out of retirement to track down the gangsters who killed his dog and stole his car
The Boogeyman,/title/tt3427252/,Horror Mystery Thriller             Still reeling from the tragic death of their mother a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before its too late
Firebrand,/title/tt15000156/,Drama History Horror             Follows Queen Catherine Parr and Henry VIIIs marriage
Cocaine Bear,/title/tt14209916/,Comedy Thriller             An oddball group of cops criminals tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine
Furious 7,/title/tt2820852/,Action Crime Thriller             Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother
Dune: Part Two,/title/tt15239678/,Action Adventure Drama             A boy becomes the Messiah of nomads on a desert planet that has giant worms that protect a commodity called Spice Spice changes people into travelers mystics and madmen What price will he pay to become the new ruler of their universe
Bullet Train,/title/tt12593682/,Action Comedy Thriller             Five assassins aboard a swiftlymoving bullet train find out that their missions have something in common
Guardians of the Galaxy Vol. 2,/title/tt3896198/,Action Adventure Comedy             The Guardians struggle to keep together as a team while dealing with their personal family issues notably StarLords encounter with his father the ambitious celestial being Ego
Girl in the Basement,/title/tt13269536/,Crime Thriller             Sarah is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don But before she could even blow out the candles Don imprisons her in the basement of their home
The Little Mermaid,/title/tt0097757/,Animation Adventure Family             A mermaid princess makes a Faustian bargain in an attempt to become human and win a princes love
Harry Potter and the Sorcerer's Stone,/title/tt0241527/,Adventure Family Fantasy             An orphaned boy enrolls in a school of wizardry where he learns the truth about himself his family and the terrible evil that haunts the magical world
Operation Fortune: Ruse de Guerre,/title/tt7985704/,Action Comedy Thriller             Special agent Orson Fortune and his team of operatives recruit one of Hollywoods biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order
Beetlejuice 2,/title/tt2049403/,Comedy Fantasy Horror             This is a followup to the comedy Beetlejuice 1988 about a ghost whos recruited to help haunt a house
Pearl,/title/tt18925334/,Drama Horror Thriller             In 1918 a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery isolation and lovelessness of life on her parents farm
Fast Five,/title/tt1596343/,Action Crime Thriller             Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent
Babylon,/title/tt10640346/,Comedy Drama History             A tale of outsized ambition and outrageous excess it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood
Spider-Man: Into the Spider-Verse,/title/tt4633694/,Animation Action Adventure             Teen Miles Morales becomes the SpiderMan of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities
Fast & Furious,/title/tt1013752/,Action Crime Thriller             Brian OConner back working for the FBI in Los Angeles teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation
The Whale,/title/tt13833688/,Drama             A reclusive morbidly obese English teacher attempts to reconnect with his estranged teenage daughter
"Are You There God? It's Me, Margaret.",/title/tt9185206/,Comedy Drama Family             When her family moves from the city to the suburbs 11yearold Margaret navigates new friends feelings and the beginning of adolescence
Triangle of Sadness,/title/tt7322224/,Comedy Drama             A fashion model celebrity couple join an eventful cruise for the superrich
The Fate of the Furious,/title/tt4630562/,Action Crime Thriller             When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him the crew face trials that will test them as never before
The Color Purple,/title/tt0088939/,Drama             A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades
The Fabelmans,/title/tt14208870/,Drama             Growing up in postWorld War II era Arizona young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence but soon discovers a shattering family secret and explores how the power of films can help him see the truth
You Hurt My Feelings,/title/tt15771916/,Comedy Drama             A novelists longstanding marriage is suddenly upended when she overhears her husband giving his honest reaction to her latest book
Nefarious,/title/tt14537248/,Horror Thriller             On the day of his scheduled execution a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon and further claims that before their time is over the psychiatrist will commit three murders of his own
Once Upon a Time in Hollywood,/title/tt7131622/,Comedy Drama             A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywoods Golden Age in 1969 Los Angeles
Fall,/title/tt15325794/,Thriller             Best friends Becky and Hunter find themselves at the top of a 2000foot radio tower
Inception,/title/tt1375666/,Action Adventure SciFi             A thief who steals corporate secrets through the use of dreamsharing technology is given the inverse task of planting an idea into the mind of a CEO but his tragic past may doom the project and his team to disaster
The Batman,/title/tt1877830/,Action Crime Drama             When a sadistic serial killer begins murdering key political figures in Gotham Batman is forced to investigate the citys hidden corruption and question his familys involvement
The Wolf of Wall Street,/title/tt0993846/,Biography Comedy Crime             Based on the true story of Jordan Belfort from his rise to a wealthy stockbroker living the high life to his fall involving crime corruption and the federal government
Book Club: The Next Chapter,/title/tt20768712/,Comedy             Follows the new journey of four best friends as they take their book club to Italy for the fun girls trip they never had
Furious 6,/title/tt1905041/,Action Adventure Crime             Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend Letty
Midsommar,/title/tt8772262/,Drama Horror Mystery             A couple travels to Northern Europe to visit a rural hometowns fabled Swedish midsummer festival What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult
Spider-Man: No Way Home,/title/tt10872600/,Action Adventure Fantasy             With SpiderMans identity now revealed Peter asks Doctor Strange for help When a spell goes wrong dangerous foes from other worlds start to appear forcing Peter to discover what it truly means to be SpiderMan
Knock at the Cabin,/title/tt15679400/,Horror Mystery Thriller             While vacationing a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse
Pulp Fiction,/title/tt0110912/,Crime Drama             The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption
Tetris,/title/tt12758060/,Biography Drama History             The story of how one of the worlds most popular video games found its way to players around the globe Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR risking it all to bring Tetris to the masses
The Dark Knight,/title/tt0468569/,Action Crime Drama             When the menace known as the Joker wreaks havoc and chaos on the people of Gotham Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice
She Said,/title/tt14807308/,Drama History             New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation  a story that helped ignite a movement and shattered decades of silence around the subject of sexual assault in Hollywood
Thor: Love and Thunder,/title/tt10648342/,Action Adventure Comedy             Thor enlists the help of Valkyrie Korg and exgirlfriend Jane Foster to fight Gorr the God Butcher who intends to make the gods extinct
Avengers: Endgame,/title/tt4154796/,Action Adventure Drama             After the devastating events of Avengers Infinity War 2018 the universe is in ruins With the help of remaining allies the Avengers assemble once more in order to reverse Thanos actions and restore balance to the universe
The Suicide Squad,/title/tt6334354/,Action Adventure Comedy             Supervillains Harley Quinn Bloodsport Peacemaker and a collection of nutty cons at Belle Reve prison join the supersecret supershady Task Force X as they are dropped off at the remote enemyinfused island of Corto Maltese
The Fast and the Furious: Tokyo Drift,/title/tt0463985/,Action Crime Thriller             A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America
Ted,/title/tt1637725/,Comedy             John Bennett a man whose childhood wish of bringing his teddy bear to life came true now must decide between keeping the relationship with the bear Ted or his girlfriend Lori
Old,/title/tt10954652/,Drama Horror Mystery             A vacationing family discovers that the secluded beach where theyre relaxing for a few hours is somehow causing them to age rapidly reducing their entire lives into a single day
Creed III,/title/tt11145118/,Drama Sport             Adonis has been thriving in both his career and family life but when a childhood friend and former boxing prodigy resurfaces the faceoff is more than just a fight
Plane,/title/tt5884796/,Action Adventure Thriller             A pilot finds himself caught in a war zone after hes forced to land his commercial aircraft during a terrible storm
Elemental,/title/tt15789038/,Animation Adventure Comedy             Follows Ember and Wade in a city where fire water land and airresidents live together
Expend4bles,/title/tt3291150/,Action Adventure Thriller             The Expendables will square up against an arms dealer who commands the might of a massive private army
Titanic,/title/tt0120338/,Drama Romance             A seventeenyearold aristocrat falls in love with a kind but poor artist aboard the luxurious illfated RMS Titanic
John Wick: Chapter 3 - Parabellum,/title/tt6146586/,Action Crime Thriller             John Wick is on the run after killing a member of the international assassins guild and with a 14 million price tag on his head he is the target of hit men and women everywhere
Shazam!,/title/tt0448115/,Action Adventure Comedy             A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy
Puss in Boots: The Last Wish,/title/tt3915174/,Animation Adventure Comedy             When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives he launches an epic journey to restore them by finding the mythical Last Wish
Knights of the Zodiac,/title/tt6528290/,Action Adventure Drama             When a goddess of war reincarnates in the body of a young girl street orphan Seiya discovers that he is destined to protect her and save the world But only if he can face his own past and become a Knight of the Zodiac
Master Gardener,/title/tt15342244/,Drama Thriller             A meticulous horticulturist who is devoted to tending the grounds of a beautiful estate and pandering to his employer the wealthy dowager
A Chorus Line,/title/tt0088915/,Drama Music Musical             Hopefuls try out before a demanding director for a part in a new musical
Three Thousand Years of Longing,/title/tt9198364/,Drama Fantasy Romance             A lonely scholar on a trip to Istanbul discovers a Djinn who offers her three wishes in exchange for his freedom
Where the Crawdads Sing,/title/tt9411972/,Drama Mystery Romance             A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved
Top Gun,/title/tt0092099/,Action Drama             As students at the United States Navys elite fighter weapons school compete to be best in the class one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom
Scream,/title/tt11245972/,Horror Mystery Thriller             25 years after a streak of brutal murders shocked the quiet town of Woodsboro Calif a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the towns deadly past
American Psycho,/title/tt0144084/,Crime Drama Horror             A wealthy New York City investment banking executive Patrick Bateman hides his alternate psychopathic ego from his coworkers and friends as he delves deeper into his violent hedonistic fantasies
Nope,/title/tt10954984/,Horror Mystery SciFi             The residents of a lonely gulch in inland California bear witness to an uncanny and chilling discovery
The Day the Earth Stood Still,/title/tt0970416/,Adventure Drama SciFi             A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth
M3GAN,/title/tt8760708/,Horror SciFi Thriller             A robotics engineer at a toy company builds a lifelike doll that begins to take on a life of its own
Pitch Perfect,/title/tt1981677/,Comedy Music Romance             Beca a freshman at Barden University is cajoled into joining The Bellas her schools allgirls singing group Injecting some much needed energy into their repertoire The Bellas take on their male rivals in a campus competition
Soft & Quiet,/title/tt14557188/,Drama Horror Mystery             Playing out in real time an elementary school teacher organizes a mixer of likeminded women when she encounters a woman from her past leading to a volatile chain of events
Caligula,/title/tt0080491/,Drama History             A dramatization of the ascent to Caesar and subsequent reign of Caligula one of the most notorious leaders of ancient Rome We see his ambition his scheming his perversion and decadence his brutality and his lunacy
2 Fast 2 Furious,/title/tt0322259/,Action Crime Thriller             Former cop Brian OConner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself
Crater,/title/tt5264838/,Adventure Drama Family             After the death of his father a boy growing up on a lunar mining colony takes a trip to explore a legendary crater along with his four best friends prior to permanently leaving the Moon and relocated to another planet
The Banshees of Inisherin,/title/tt11813216/,Comedy Drama             Two lifelong friends find themselves at an impasse when one abruptly ends their relationship with alarming consequences for both of them
The Green Mile,/title/tt0120689/,Crime Drama Fantasy             A tale set on death row in a Southern jail where gentle giant John possesses the mysterious power to heal peoples ailments When the lead guard Paul recognizes Johns gift he tries to help stave off the condemned mans execution
Indiana Jones and the Raiders of the Lost Ark,/title/tt0082971/,Action Adventure             In 1936 archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before the Nazis can obtain its awesome powers
Fifty Shades of Grey,/title/tt2322441/,Drama Romance Thriller             Literature student Anastasia Steeles life changes forever when she meets handsome yet tormented billionaire Christian Grey
Glass Onion,/title/tt11564570/,Comedy Crime Drama             Famed Southern detective Benoit Blanc travels to Greece for his latest case
Big George Foreman,/title/tt12226632/,Biography Drama Sport             The life and boxing career of George Foreman
Jurassic Park,/title/tt0107290/,Action Adventure SciFi             A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the parks cloned dinosaurs to run loose
Evil Dead,/title/tt1288558/,Horror             Five friends head to a remote cabin where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods
Fast & Furious Presents: Hobbs & Shaw,/title/tt6806448/,Action Adventure Thriller             Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cybergenetically enhanced villain threatens the future of humanity
Theater Camp,/title/tt21232992/,Comedy             The eccentric staff of a rundown theater camp in upstate New York must band together with the beloved founders broy son to keep the camp afloat
John Wick: Chapter 2,/title/tt4425200/,Action Crime Thriller             After returning to the criminal underworld to repay a debt John Wick discovers that a large bounty has been put on his life
Thor: Ragnarok,/title/tt3501632/,Action Adventure Comedy             Imprisoned on the planet Sakaar Thor must race against time to return to Asgard and stop Ragnarök the destruction of his world at the hands of the powerful and ruthless villain Hela
Punisher: War Zone,/title/tt0450314/,Action Crime Drama             Frank Castle known as the Punisher ruthlessly demolishes organized crime but it starts an even bigger war
Book Club,/title/tt6857166/,Comedy Drama Romance             Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club
The Departed,/title/tt0407887/,Crime Drama Thriller             An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston
Influencer,/title/tt13309170/,Horror Mystery Thriller             While struggling on a solo backpacking trip in Thailand social media influencer Madison meets CW who travels with ease and shows her a more uninhibited way of living but CWs interest in her takes a darker turn
Blade Runner 2049,/title/tt1856101/,Action Drama Mystery             Young Blade Runner Ks discovery of a longburied secret leads him to track down former Blade Runner Rick Deckard whos been missing for thirty years
Fight Club,/title/tt0137523/,Drama             An insomniac office worker and a devilmaycare soap maker form an underground fight club that evolves into much more
Black Panther: Wakanda Forever,/title/tt9114286/,Action Adventure Drama             The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King TChalla
The Hunger Games: The Ballad of Songbirds and Snakes,/title/tt10545296/,Action Adventure Drama             Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games
It's a Mad Mad Mad Mad World,/title/tt0057193/,Action Adventure Comedy             A group of motorists witnesses a car crash in the California desert and after the drivers dying words indicate the location of a hidden stash of loot they turn against each in a race across the state to get to it
Haunted Mansion,/title/tt1695843/,Comedy Drama Family             A single mom named Gabbie hires a tour guide a psychic a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts
Sound of Freedom,/title/tt7599146/,Action Biography Drama             The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers
American Graffiti,/title/tt0069704/,Comedy Drama             A group of teenagers in Californias central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals
Goodfellas,/title/tt0099685/,Biography Crime Drama             The story of Henry Hill and his life in the mafia covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito
The Lord of the Rings: The Fellowship of the Ring,/title/tt0120737/,Action Adventure Drama             A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middleearth from the Dark Lord Sauron
The Hunger Games,/title/tt1392170/,Action Adventure SciFi             Katniss Everdeen voluntarily takes her younger sisters place in the Hunger Games a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death
Whiplash,/title/tt2582802/,Drama Music             A promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential
Good Will Hunting,/title/tt0119217/,Drama Romance             Will Hunting a janitor at MIT has a gift for mathematics but needs help from a psychologist to find direction in his life
Kingsman: The Secret Service,/title/tt2802144/,Action Adventure Comedy             A spy organisation recruits a promising street kid into the agencys training program while a global threat emerges from a twisted tech genius
Aftersun,/title/tt19770238/,Drama             Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didnt
Se7en,/title/tt0114369/,Crime Drama Mystery             Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives
Beautiful Disaster,/title/tt2316548/,Drama Romance             College freshman Abby tries to distance herself from her dark past while resisting her attraction to bad boy Travis
Come Out Fighting,/title/tt10788058/,Action Adventure Drama             Set during World War 2 a squad of American Army soldiers are sent on a mission behind lines to locate their missing commanding officer
Shang-Chi and the Legend of the Ten Rings,/title/tt9376612/,Action Adventure Fantasy             ShangChi the master of weaponrybased Kung Fu is forced to confront his past after being drawn into the Ten Rings organization
The Thing with Two Heads,/title/tt0069372/,Comedy SciFi             Doctors are forced to transplant the head of a dying racist surgeon onto the body of a black death row inmate
Hereditary,/title/tt7784604/,Drama Horror Mystery             A grieving family is haunted by tragic and disturbing occurrences
Scream,/title/tt0117571/,Horror Mystery             A year after the murder of her mother a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game
Smile,/title/tt15474916/,Horror Mystery Thriller             After witnessing a bizarre traumatic incident involving a patient a psychiatrist becomes increasingly convinced she is being threatened by an uncanny entity
The Meg,/title/tt4779682/,Action Horror SciFi             A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed  the Megalodon
The Matrix,/title/tt0133093/,Action SciFi             When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence
Tenet,/title/tt6723592/,Action SciFi Thriller             Armed with only one word Tenet and fighting for the survival of the entire world a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time
Ant-Man,/title/tt0478970/,Action Comedy SciFi             Armed with a supersuit with the astonishing ability to shrink in scale but increase in strength cat burglar Scott Lang must embrace his inner hero and help his mentor Dr Hank Pym pull off a plan that will save the world
Léon: The Professional,/title/tt0110413/,Action Crime Drama             12yearold Mathilda is reluctantly taken in by Léon a professional assassin after her family is murdered An unusual relationship forms as she becomes his protégée and learns the assassins trade
Malum,/title/tt9472334/,Drama Horror Thriller             A rookie police officer willingly takes the last shift at a newly decommissioned police station in an attempt to uncover the mysterious connection between her fathers death and a vicious cult
Inglourious Basterds,/title/tt0361748/,Adventure Drama War             In Nazioccupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish US soldiers coincides with a theatre owners vengeful plans for the same
Barbarian,/title/tt15791034/,Horror Mystery Thriller             A woman staying at an Airbnb discovers that the house she has rented is not what it seems
Back to the Future,/title/tt0088763/,Adventure Comedy SciFi             Marty McFly a 17yearold high school student is accidentally sent 30 years into the past in a timetraveling DeLorean invented by his close friend the maverick scientist Doc Brown
Ford v Ferrari,/title/tt1950186/,Action Biography Drama             American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966
Schindler's List,/title/tt0108052/,Biography Drama History             In Germanoccupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis
The Unbearable Weight of Massive Talent,/title/tt11291274/,Action Comedy Crime             Moviestar Nick Cage is channeling his iconic characters as hes caught between a superfan and a CIA agent
Prisoners,/title/tt1392214/,Crime Drama Mystery             When Keller Dovers daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts
Black Swan,/title/tt0947798/,Drama Thriller             Nina is a talented but unstable ballerina on the verge of stardom Pushed to the breaking point by her artistic director and a seductive rival Ninas grip on reality slips plunging her into a waking nightmare
Taxi Driver,/title/tt0075314/,Crime Drama             A mentally unstable veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze fuels his urge for violent action
Shutter Island,/title/tt1130884/,Mystery Thriller             Teddy Daniels and Chuck Aule two US marshals are sent to an asylum on a remote island in order to investigate the disappearance of a patient where Teddy uncovers a shocking truth about the place
We're the Millers,/title/tt1723121/,Comedy Crime             A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the US from Mexico
The Grand Budapest Hotel,/title/tt2278388/,Adventure Comedy Crime             A writer encounters the owner of an aging highclass hotel who tells him of his early years serving as a lobby boy in the hotels glorious years under an exceptional concierge
Problemista,/title/tt15078804/,Comedy             Alejandro is an aspiring toy designer from El Salvador struggling to bring his unusual ideas to life in NY As time runs out on his work visa a job assisting an erratic artworld outcast becomes his only hope to stay in the country
Fool's Paradise,/title/tt9013340/,Comedy             A fool for love becomes an accidental celebrity only to lose it all
Teenage Mutant Ninja Turtles: Mutant Mayhem,/title/tt8589698/,Animation Action Adventure             The Turtle brothers as they work to earn the love of New York City while facing down an army of mutants
The Gentlemen,/title/tt8367814/,Action Comedy Crime             An American expat tries to sell off his highly profitable marijuana empire in London triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him
The Outsiders,/title/tt0086066/,Crime Drama             The rivalry between two gangs the poor Greasers and the rich Socs only heats up when one gang member kills a member of the other
Beetlejuice,/title/tt0094721/,Comedy Fantasy             The spirits of a deceased couple are harassed by an unbearable family that has moved into their home and hire a malicious spirit to drive them out
Gladiator,/title/tt0172495/,Action Adventure Drama             A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery
King Arthur,/title/tt0349683/,Action Adventure Drama             A demystified take on the tale of King Arthur and the Knights of the Round Table
Transformers,/title/tt0418279/,Action Adventure SciFi             An ancient struggle between two Cybertronian races the heroic Autobots and the evil Decepticons comes to Earth with a clue to the ultimate power held by a teenager
The French Dispatch,/title/tt8847712/,Comedy Drama Romance             A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in The French Dispatch Magazine
Wonka,/title/tt6166392/,Adventure Comedy Family             The story will focus specifically on a young Willy Wonka and how he met the OompaLoompas on one of his earliest adventures
No Country for Old Men,/title/tt0477348/,Crime Drama Thriller             Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande
The Irishman,/title/tt1302006/,Biography Crime Drama             An illustration of Frank Sheerans life from WWII veteran to hitman for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa
Don't Worry Darling,/title/tt10731256/,Drama Thriller             A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets
Sicario,/title/tt3397884/,Action Crime Drama             An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the US and Mexico
Forrest Gump,/title/tt0109830/,Drama Romance             The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75 whose only desire is to be reunited with his childhood sweetheart
